dataset,pooling_ratio,batch_size,lr,weight_decay,id,reward,num_layers,dropout_ratio,K
PROTEINS,0.7528508649266856,64,0.001,0.0001,F0cEe,0.8392857142857143,4,0.2829606514657734,2
PROTEINS,0.5314761661305756,64,0.001,0.0001,oh6I8,0.8392857142857143,4,0.2892742029325933,2
PROTEINS,0.755012039482616,64,0.001,0.0001,C0Iaf,0.8125,4,0.28977349435745914,3
PROTEINS,0.5515345654042436,64,0.001,0.0001,APt82,0.8303571428571429,4,0.28600949255655206,3
PROTEINS,0.5407755346011728,64,0.001,0.0001,g5A7W,0.8303571428571429,4,0.43761259089172233,3
PROTEINS,0.4876064940865109,64,0.001,0.001,E5rMa,0.7589285714285714,4,0.27195872003213795,1
PROTEINS,0.4460729213614606,64,0.001,0.001,Ax6Pz,0.7678571428571429,4,0.07804348082492854,1
PROTEINS,0.543219596686478,64,0.001,0.001,UyKIl,0.7053571428571429,4,0.28464655437142566,1
PROTEINS,0.5400736523174412,64,0.001,0.001,AFfIT,0.8571428571428571,4,0.2843404901129659,1
PROTEINS,0.26415219491822056,64,0.001,0.001,JpYwb,0.8125,4,0.28435581937899157,1
PROTEINS,0.4746620641449703,64,0.001,0.0001,WTFIE,0.8125,4,0.2787206194069728,1
PROTEINS,0.5429886019569681,64,0.001,0.0001,CqjXp,0.8303571428571429,4,0.2811410805295272,1
PROTEINS,0.2741068702018384,64,0.001,0.001,b1SeH,0.7142857142857143,4,0.3022296510762358,1
PROTEINS,0.4924375256405671,64,0.001,0.0001,UY9lL,0.8125,4,0.3518041310438278,1
PROTEINS,0.4859564117425999,64,0.001,0.0001,UQE11,0.7589285714285714,4,0.3486051803833636,1
PROTEINS,0.2652476269189743,64,0.001,0.001,YBmIh,0.7857142857142857,5,0.08698128347451844,1
PROTEINS,0.44051411541101604,64,0.001,0.001,kduV7,0.8303571428571429,5,0.08599563059801285,1
PROTEINS,0.4489426999914191,64,0.001,0.001,qiqco,0.8214285714285714,5,0.08199452671365254,1
PROTEINS,0.2670021311130114,64,0.001,0.001,uca5u,0.8303571428571429,5,0.3489062343768866,1
PROTEINS,0.4965653473532894,64,0.001,0.001,w1VKe,0.7946428571428571,5,0.38109371532883635,1
PROTEINS,0.450188134986538,64,0.001,0.001,L2gbe,0.8214285714285714,5,0.3476549914525561,1
PROTEINS,0.2656307021024674,64,0.001,0.001,rkalY,0.7857142857142857,5,0.07177878987737729,1
PROTEINS,0.2832392250327569,64,0.001,0.001,VyDn6,0.7767857142857143,5,0.46541889801423103,1
PROTEINS,0.255730345783638,64,0.001,0.001,SYYWV,0.8392857142857143,5,0.3452209360523209,1
PROTEINS,0.43315902135216827,64,0.001,0.001,ePbPe,0.8035714285714286,5,0.07832797797511754,1
